12626,23,9,6620.47995525599
14819,64,2,272.06999874115
13089,2,97,58825.8298240304
17453,17,2,486.719993233681
13359,63,1,439.560000419617
15297,10,3,641.94000005722
14844,63,4,3189.80994832516
12740,63,1,427.600002765656
15874,63,7,4405.8799571991
15807,50,3,903.899991035461
15129,50,11,3447.40000644326
15814,16,4,1945.32998907566
14646,1,74,280206.01943633
14156,9,55,117379.629551768
12646,4,2,1346.97000980377
16015,3,3,705.389996089041
16931,5,21,4604.21996736526
16686,47,7,3062.82997886091
17131,5,5,2463.16999599338
12844,29,2,325.959996849298
12473,29,5,3938.55002367496
17901,29,1,110.380000174046
13230,4,14,2806.96999050677
14297,17,4,1305.33000206947
13408,1,62,28117.0398488939
17324,17,4,990.230014741421
13681,17,4,827.829993665218
14515,17,6,2102.08998173475
13599,1,21,5153.66993990541
12921,9,37,16587.0899298489
16265,9,9,5446.999971807
13854,8,25,8109.52002263069
12572,8,2,1020.41999716312
12901,8,28,17654.5396937728
14869,8,2,725.699992269278
13102,1,24,6424.09000992775
13495,7,5,2044.86998653412
12681,14,22,13787.539919585
17017,2,20,8694.26003208756
18119,367,1,181.119996964931
15002,115,4,1641.75999367237
14723,10,6,1158.29999444634
13869,123,4,3104.94997808337
14032,2,11,2975.58998319507
14062,9,12,10464.8498860002
17230,264,8,3638.409984231
16270,353,1,1141.23999786377
14092,7,14,4076.90997591615
17035,245,2,433.530001163483
15854,4,12,2974.64992977679
14411,310,1,1062.99998664856
13824,32,5,1698.93998885155
18250,310,1,349.269998073578
15270,15,7,2379.490036726
13753,287,1,741.259999215603
13666,60,3,84.6500002145767
18223,4,14,6484.53994572163
16473,164,3,316.110001474619
13493,275,2,618.630005836487
12458,71,2,947.39999806881
15062,71,4,987.85999417305
16458,2,18,3482.73995834589
15656,45,4,748.499996423721
14740,197,3,1448.20999884605
13884,7,5,787.599990606308
14676,31,6,2548.2399636507
16525,2,26,13027.4498822689
17364,0,11,4481.17997451127
